name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"void NullPointerTest.test1()","com.qihoo.ruletestcases.NullPointerTest.test1():void.dca82ea974b8d8a60a264206f8d1c77d",0,0,NONE,6,1,app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java,16,53,N,"void void NullPointerTest.test1()(class com.qihoo.ruletestcases.NullPointerTest *this)",0,0.00,0.00,0,0,
"void NullPointerTest.test2(String)","com.qihoo.ruletestcases.NullPointerTest.test2(java.lang.String):void.e503edc0f7a73257a584317c628973fd",1,0,NONE,26,0,app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java,37,53,N,"void void NullPointerTest.test2(String)(class com.qihoo.ruletestcases.NullPointerTest *this, class java.lang.String *str)",0,0.00,0.00,0,0,37 38 39
"void NullPointerTest.test3()","com.qihoo.ruletestcases.NullPointerTest.test3():void.62ac034264dcf6ba96e2b037b38652a8",1,0,NONE,224,0,app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java,41,53,N,"void void NullPointerTest.test3()(class com.qihoo.ruletestcases.NullPointerTest *this)",0,0.00,0.00,0,0,41 42 44 45 46 47 49 51
"R$anim.<init>()","com.qihoo.ruletestcases.R$anim.<init>().3c5bc83c48ba8ac3ba68913c66848f7b",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,11,7104,N,"void R$anim.<init>()(class com.qihoo.ruletestcases.R$anim *this)",0,0.00,0.00,0,0,11
"R$attr.<init>()","com.qihoo.ruletestcases.R$attr.<init>().0149ea4631f4ed202ca88e1faa4c77e2",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,23,7104,N,"void R$attr.<init>()(class com.qihoo.ruletestcases.R$attr *this)",0,0.00,0.00,0,0,23
"R$bool.<init>()","com.qihoo.ruletestcases.R$bool.<init>().b974784474ebcdfda314e52abbcdc34c",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,1548,7104,N,"void R$bool.<init>()(class com.qihoo.ruletestcases.R$bool *this)",0,0.00,0.00,0,0,1548
"R$color.<init>()","com.qihoo.ruletestcases.R$color.<init>().1edb15ae2c946f67f4071c09e10624c6",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,1555,7104,N,"void R$color.<init>()(class com.qihoo.ruletestcases.R$color *this)",0,0.00,0.00,0,0,1555
"R$dimen.<init>()","com.qihoo.ruletestcases.R$dimen.<init>().55b0786021b6c84e03e3774d4347d953",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,1642,7104,N,"void R$dimen.<init>()(class com.qihoo.ruletestcases.R$dimen *this)",0,0.00,0.00,0,0,1642
"R$drawable.<init>()","com.qihoo.ruletestcases.R$drawable.<init>().efa3f684735f8a753fa7e82ecec1c0e0",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,1742,7104,N,"void R$drawable.<init>()(class com.qihoo.ruletestcases.R$drawable *this)",0,0.00,0.00,0,0,1742
"R$id.<init>()","com.qihoo.ruletestcases.R$id.<init>().4ff5cfcfd73f1d9579dfef792d2ff8fe",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,1839,7104,N,"void R$id.<init>()(class com.qihoo.ruletestcases.R$id *this)",0,0.00,0.00,0,0,1839
